id,X,Y,zipcode,greening_rate,plot_area,first_hand,price,distance,b_subway,n_school
170683,116.3011477,39.95253227,100089,30,1.58,f,70399,0.010386533,1,0
171978,116.3567176,40.07473369,100096,30,1.58,f,43272,0.026814,1,0
172860,116.3962895,39.88243898,100050,30,1.58,f,67720,0.001114297,1,0
171962,116.3556229,40.08105977,100208,33,1.58,f,47695,0.028952306,1,1
165571,116.6350328,39.89050616,101121,35,1.58,f,14688,0.057672344,1,0
171934,116.355538,40.08161002,102208,35,1.58,f,56388,0.029141356,0,0
171945,116.3604648,40.08549582,102208,35,1.58,f,42071,0.030068318,1,0
171964,116.3553151,40.08223073,102208,45,1.58,f,59267,0.029365742,1,1
169642,116.2932327,39.93361319,100097,60,1.58,f,71313,0.010922982,0,1
169644,116.2931416,39.9333909,100097,60,1.58,f,83673,0.010933893,0,1
172844,116.3898892,39.88219451,100050,30,1.59,f,89677,0.001170753,1,0
169360,116.3543529,40.04065421,100192,40,1.59,f,47662,0.017336434,0,0
169720,116.3598436,40.04366672,100192,40,1.59,f,63395,0.017668026,1,0
169292,116.2952435,39.90871333,100036,20,1.6,f,90262,0.010246758,1,1
169348,116.3324204,39.9905588,100190,20,1.6,f,85544,0.009656277,1,0
169458,116.2956954,39.91328674,100036,20,1.6,f,68484,0.010111613,1,1
169766,116.3415122,40.03124322,100085,20,1.6,f,62340,0.016315463,1,0
169865,116.3515192,39.97593285,100086,20,1.6,f,72980,0.005611716,1,1
170038,116.3050923,39.94208163,100089,20,1.6,f,85011,0.008993931,1,1
170145,116.28595,40.01173875,100091,20,1.6,f,74377,0.02135988,1,0
171339,116.3220639,39.84956994,100070,20,1.6,f,35663,0.009888198,1,0
173020,116.3646507,39.89833495,100053,20,1.6,f,86270,0.001302348,1,0
165365,116.6449937,39.90280019,101199,21,1.6,f,60592,0.062057869,1,0
169869,116.3224423,39.9824386,100086,22,1.6,f,68822,0.009881187,1,0
170154,116.3307244,39.96324167,100081,22,1.6,f,97618,0.006538488,1,0
173023,116.3688962,39.95349118,100088,22,1.6,f,103260,0.002165708,1,0
168845,116.4175806,39.98728109,100029,23,1.6,f,68199,0.005562963,1,0
278342,116.3386327,39.97934345,100086,23,1.6,f,105301,0.007351526,1,1
172593,116.3397966,39.9480158,100044,24,1.6,f,89688,0.00422017,1,0
165329,116.6468628,39.90626768,101100,25,1.6,f,41963,0.06291306,1,0
173052,116.3532031,39.90059807,100045,26,1.6,f,117391,0.002082161,1,1
173081,116.354032,39.90219089,100053,26,1.6,f,102024,0.00196558,1,1
170508,116.2240538,39.93044316,100049,27,1.6,f,58151,0.029855037,1,0
174370,116.4576007,39.80029879,100076,28,1.6,f,26970,0.01711274,1,0
13411,116.4438784,39.80673547,100076,30,1.6,f,45324,0.014170758,0,0
165212,116.5198335,39.91618655,100123,30,1.6,f,58711,0.015280432,1,1
165424,116.68403,39.89802835,101100,30,1.6,f,45485,0.083151139,1,0
165613,116.6852282,39.92853054,101125,30,1.6,f,22405,0.083687297,0,0
165805,116.1050058,39.92678024,102399,30,1.6,f,24717,0.084925837,0,0
165807,116.1190722,39.92898598,102399,30,1.6,f,26650,0.076984246,0,0
165928,116.6597328,39.93566302,101100,30,1.6,f,42781,0.069832741,1,0
166196,116.3461387,39.72148389,100064,30,1.6,t,31075,0.04027466,1,0
166359,116.5540679,39.91904442,100024,30,1.6,f,55055,0.024926356,1,0
166453,116.399093,39.81781493,100076,30,1.6,f,43384,0.009613248,0,0
166531,116.4703425,39.95134797,100125,30,1.6,f,49640,0.006756382,1,0
167474,116.4678972,39.99285535,100102,30,1.6,f,108451,0.011072066,1,0
167628,116.4515097,39.94822701,100027,30,1.6,f,45515,0.004107165,1,1
168049,116.5058584,39.93681118,100026,30,1.6,f,72836,0.012461208,1,0
168334,116.4933685,39.91831828,100036,30,1.6,f,57117,0.009444072,1,0
168659,116.3661562,40.08062464,102208,30,1.6,f,39948,0.028064401,1,0
168868,116.4694955,39.92711304,100026,30,1.6,f,57515,0.005496832,1,0
168897,116.4692294,39.87617244,100021,30,1.6,f,53858,0.006902302,1,0
168931,116.4305241,40.02840557,100012,30,1.6,f,47853,0.013852282,1,0
168932,116.4700695,39.92710024,100026,30,1.6,f,62770,0.005580992,1,0
168992,116.5583171,39.90291313,100024,30,1.6,f,41737,0.026442057,1,0
169599,116.3662008,40.06509925,100085,30,1.6,f,89887,0.023185447,0,0
169971,116.3203536,39.98912416,100190,30,1.6,f,118084,0.011129211,1,1
170172,116.3336408,39.95391589,100022,30,1.6,f,62247,0.005367453,1,0
